age_part,sex_part,age_cnt,sex_cnt,y,n,y_grp,s,m
0,F,10,F,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,11,M,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,11,F,0.0,5.0,5.0,1.0,0.0
0,F,12,M,2.0,5.0,5.0,0.2857142857142857,1.4000000000000001
0,F,12,F,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,13,M,0.0,5.0,5.0,1.0,0.0
0,F,13,F,0.0,5.0,5.0,1.0,0.0
0,F,14,M,0.0,5.0,5.0,1.0,0.0
0,F,14,F,0.0,5.0,5.0,1.0,0.0
0,F,15,M,5.0,5.0,5.0,0.5,2.0
0,F,15,F,6.0,5.0,5.0,0.5454545454545454,2.2
0,F,16,M,0.0,5.0,5.0,1.0,0.0
0,F,16,F,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,17,M,0.0,5.0,5.0,1.0,0.0
0,F,17,F,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,18,M,0.0,5.0,5.0,1.0,0.0
0,F,18,F,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,19,M,0.0,5.0,5.0,1.0,0.0
0,F,19,F,0.0,5.0,5.0,1.0,0.0
0,F,20,M,0.0,5.0,5.0,1.0,0.0
0,F,20,F,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,21,M,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,21,F,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,22,M,0.0,5.0,5.0,1.0,0.0
0,F,22,F,0.0,5.0,5.0,1.0,0.0
0,F,23,M,0.0,5.0,5.0,1.0,0.0
0,F,23,F,0.0,5.0,5.0,1.0,0.0
0,F,24,M,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,24,F,0.0,5.0,5.0,1.0,0.0
0,F,25,M,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,25,F,0.0,5.0,5.0,1.0,0.0
0,F,26,M,0.0,5.0,5.0,1.0,0.0
0,F,26,F,0.0,5.0,5.0,1.0,0.0
0,F,27,M,0.0,5.0,5.0,1.0,0.0
0,F,27,F,0.0,5.0,5.0,1.0,0.0
0,F,28,M,0.0,5.0,5.0,1.0,0.0
0,F,28,F,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,29,M,0.0,5.0,5.0,1.0,0.0
0,F,29,F,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,30,M,0.0,5.0,5.0,1.0,0.0
0,F,30,F,2.0,5.0,5.0,0.2857142857142857,1.4000000000000001
0,F,31,M,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,31,F,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,32,M,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,32,F,0.0,5.0,5.0,1.0,0.0
0,F,33,M,0.0,5.0,5.0,1.0,0.0
0,F,33,F,0.0,5.0,5.0,1.0,0.0
0,F,34,M,0.0,5.0,5.0,1.0,0.0
0,F,34,F,0.0,5.0,5.0,1.0,0.0
0,F,35,M,0.0,5.0,5.0,1.0,0.0
0,F,35,F,0.0,5.0,5.0,1.0,0.0
0,F,36,M,0.0,5.0,5.0,1.0,0.0
0,F,36,F,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,37,M,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,37,F,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,38,M,0.0,5.0,5.0,1.0,0.0
0,F,38,F,0.0,5.0,5.0,1.0,0.0
0,F,39,M,0.0,5.0,5.0,1.0,0.0
0,F,39,F,0.0,5.0,5.0,1.0,0.0
0,F,40,M,0.0,5.0,5.0,1.0,0.0
0,F,40,F,0.0,5.0,5.0,1.0,0.0
0,F,41,M,0.0,5.0,5.0,1.0,0.0
0,F,41,F,0.0,5.0,5.0,1.0,0.0
0,F,42,M,0.0,5.0,5.0,1.0,0.0
